MMM	43.53	44.03	42.04	42.51	8217600.0	38.97	-1.02	-2.34%
ACE	33.96	34.51	31.32	31.87	4936800.0	29.29	-2.09	-6.15%
ABT	46.4	47.23	45.65	46.04	9775100.0	40.79	-0.36	-0.78%
ANF	19.07	19.3	16.97	18.24	11356500.0	17.25	-0.83	-4.35%
ACN	28.16	28.16	27.43	27.72	3502100.0	25.88	-0.44	-1.56%
ADBE	18.16	18.19	16.31	16.92	26498300.0	16.92	-1.24	-6.83%
AMD	2.21	2.3	2.14	2.16	10533400.0	2.16	-0.05	-2.26%
AES	5.38	5.41	4.8	5.0	9046900.0	5.0	-0.38	-7.06%
AET	20.79	20.9	18.66	18.99	9383400.0	18.49	-1.80	-8.66%
AFL	14.5	14.54	13.14	13.63	15286200.0	12.51	-0.87	-6.00%
A	12.98	13.23	12.51	12.54	6922900.0	12.48	-0.44	-3.39%
GAS	25.85	26.0	24.81	24.95	243700.0	21.68	-0.90	-3.48%
APD	45.36	45.89	44.89	45.2	3909100.0	41.18	-0.16	-0.35%
ARG	28.66	28.84	27.51	28.0	1128200.0	26.39	-0.66	-2.30%
AKAM	16.96	17.06	16.1	16.23	5903000.0	16.23	-0.73	-4.30%
AA	6.02	6.03	5.12	5.26	46785200.0	5.09	-0.76	-12.62%
ALXN	33.57	33.68	31.94	32.04	1557200.0	16.02	-1.53	-4.56%
ATI	18.07	18.68	17.48	17.74	2108100.0	16.66	-0.33	-1.83%
AGN	36.49	36.69	35.58	35.88	2614700.0	35.54	-0.61	-1.67%
ALL	15.68	15.79	14.0	14.35	9688400.0	12.92	-1.33	-8.48%
ANR	17.0	17.45	16.23	16.78	2287100.0	16.78	-0.22	-1.29%
ALTR	16.07	16.73	15.76	15.83	13280800.0	15.4	-0.24	-1.49%
MO	15.11	15.98	15.0	15.65	34902000.0	12.51	0.54	3.57%
AMZN	64.12	65.8	63.6	64.77	11770300.0	64.77	0.65	1.01%
AEE	21.25	21.37	20.37	20.58	2058700.0	16.87	-0.67	-3.15%
AEP	25.57	25.57	24.2	24.87	5076100.0	21.08	-0.70	-2.74%
AXP	11.27	11.47	10.14	10.33	31032700.0	9.63	-0.94	-8.34%
AIG	0.42	0.44	0.35	0.35	3132800.0	5.87	-0.07	-16.67%
AMT	27.34	27.85	27.11	27.35	5053000.0	27.17	0.01	0.04%
AMP	15.02	15.4	13.84	14.21	4978600.0	13.36	-0.81	-5.39%
ABC	30.68	31.21	30.31	30.98	5502000.0	14.87	0.30	0.98%
AMGN	47.71	47.95	47.1	47.2	11002500.0	46.71	-0.51	-1.07%
APH	24.6	24.94	23.71	24.05	2462300.0	23.86	-0.55	-2.24%
APC	33.03	34.33	32.57	32.93	9722400.0	32.24	-0.10	-0.30%
ADI	18.56	19.18	18.55	18.78	7292400.0	17.1	0.22	1.19%
AON	37.19	38.92	36.92	38.31	7130800.0	36.63	1.12	3.01%
APA	55.11	57.42	53.57	54.3	6184100.0	53.1	-0.81	-1.47%
AIV	5.25	5.25	4.91	4.98	5741200.0	4.59	-0.27	-5.14%
APOL	65.54	67.66	64.63	66.79	6347700.0	66.79	1.25	1.91%
AAPL	90.46	91.87	88.45	88.84	25246400.0	88.84	-1.62	-1.79%
AMAT	9.08	9.39	9.01	9.04	23433200.0	8.38	-0.04	-0.44%
ADM	25.81	26.64	25.43	25.91	8451200.0	24.21	0.10	0.39%
AIZ	18.34	18.62	16.59	16.95	1978400.0	15.9	-1.39	-7.58%
T	22.56	23.46	22.18	22.56	48618600.0	18.3	0.00	0.00%
ADSK	12.38	12.38	11.81	12.05	7818800.0	12.05	-0.33	-2.67%
